LocusLink	Name	P-value	Description
23522	MYST4	0.00811797	"MYST histone acetyltransferase (monocytic leukemia) 4.qkf; MORF; MOZ2; KIAA0383; querkopf.MYST histone acetyltransferase (monocytic leukemia) 4.monocytic leukemia zinc finger protein-related factor, a histone acetyltransferase; may act as both a positive and negative regulator of transcription|Proteome"
816	CAMK2B	0.00828739	calciumcalmodulin-dependent protein kinase (CaM kinase) II beta.CAM2; CAMK2; CAMKB; MGC29528.calciumcalmodulin-dependent protein kinase IIB isoform 8.
11006	LILRB4	0.0083273	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4.HM18; ILT3; LIR5; CD85K; LIR-5.leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4."
22895	RPH3A	0.00842497	rabphilin 3A homolog (mouse).KIAA0985; rabphilin.rabphilin 3A homolog.
6624	FSCN1	0.00854425	"fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus).SNL; p55.fascin 1."
10346	TRIM22	0.00858314	tripartite motif-containing 22.RNF94; STAF50; GPSTAF50.tripartite motif-containing 22.
1742	DLG4	0.00860543	"discs, large homolog 4 (Drosophila).PSD95; SAP90.postsynaptic density protein 95."
79846		0.00860635	hypothetical protein FLJ21062.
59335	PRDM12	0.00864024	PR domain containing 12..PR domain containing 12.
85443		0.00864024	
3983	ABLIM1	0.00882411	actin binding LIM protein 1.abLIM; LIMAB1; LIMATIN; KIAA0059.actin-binding LIM protein 1 isoform s.
9715		0.00882704	KIAA0773 gene product.
649	BMP1	0.00891624	bone morphogenetic protein 1.TLD.bone morphogenetic protein 1 isoform 6 precursor.
1538	CYLC1	0.00928292	"cylicin, basic protein of sperm head cytoskeleton 1.CYCL1.."
10295		0.00947001	branched chain alpha-ketoacid dehydrogenase kinase.Putative ortholog of rat branched chain keto acid dehydrogenase kinase; may phosphorylate branched-chain a-ketoacid dehydrogenase E1 subunit|Proteome
5789	PTPRD	0.00947695	"protein tyrosine phosphatase, receptor type, D.HPTP; PTPD; HPTPD; HPTP-DELTA; R-PTP-DELTA.protein tyrosine phosphatase, receptor type, D isoform 4 precursor."
5348	FXYD1	0.00952531	FXYD domain containing ion transport regulator 1 (phospholemman).PLM; MGC44983.phospholemman precursor.
26150		0.0095262	hypothetical protein MGC4107.
9986	RCE1	0.00953644	"RCE1 homolog, prenyl protein protease (S. cerevisiae).FACE2; RCE1A; RCE1B; hRCE1; FACE-2.prenyl protein protease RCE1."
7125	TNNC2	0.00996564	"troponin C2, fast..fast skeletal muscle troponin C."
63895		0.0101669	FLJ23144.hypothetical protein FLJ23403.
114088	TRIM9	0.0101961	tripartite motif-containing 9.RNF91; SPRING; KIAA0282.tripartite motif protein 9 isoform 2.
1843	DUSP1	0.0102213	dual specificity phosphatase 1.HVH1; CL100; MKP-1; PTPN10.dual specificity phosphatase 1.
6862	T	0.0104124	"T, brachyury homolog (mouse).TFT.transcription factor T."
55501	CHST12	0.0104767	carbohydrate (chondroitin 4) sulfotransferase 12.C4S-2; C4ST2; C4ST-2.carbohydrate (chondroitin 4) sulfotransferase 12.
9922		0.0105701	KIAA0763 gene product.
117283	IHPK3	0.0106062	inositol hexaphosphate kinase 3.Dnah11; Hbp23; Ptpg1; Pr52; F3; Nudt1; Pept1; Tbp7; s4; P2y6; Paf2; Paf-2; Dtdst; P62; Ps2; Dp5; Hrk; Pap41; Arha; RhoA; Shp; Flip; PR65; Csbp; IP6K3; INSP6K3.inositol hexaphosphate kinase 3.
2827	GPR3	0.0106897	G protein-coupled receptor 3.ACCA.G protein-coupled receptor 3.
55110		0.0108446	hypothetical protein FLJ10292.
6507	SLC1A3	0.0109442	"solute carrier family 1 (glial high affinity glutamate transporter), member 3.EAAT1; GLAST; GLAST1.solute carrier family 1 (glial high affinity glutamate transporter), member 3."
57235		0.0110058	
4237	MFAP2	0.0110246	microfibrillar-associated protein 2.MAGP; MAGP1.microfibrillar-associated protein 2 precursor.
8743	TNFSF10	0.0111042	"tumor necrosis factor (ligand) superfamily, member 10.TL2; APO2L; TRAIL; Apo-2L.tumor necrosis factor (ligand) superfamily, member 10."
6348	CCL3	0.0112636	chemokine (C-C motif) ligand 3.MIP1A; SCYA3; LD78ALPHA; MIP-1-alpha.chemokine (C-C motif) ligand 3.
7474	WNT5A	0.0113034	"wingless-type MMTV integration site family, member 5A.hWNT5A.wingless-type MMTV integration site family, member 5A precursor."
3045	HBD	0.0113841	"hemoglobin, delta..delta globin."
51313		0.0115237	AD021; AD036.hypothetical protein DKFZp434L142.Highly similar to a region of uncharacterized DKFZP434B172|Proteome
10891	PPARGC1	0.0115432	"peroxisome proliferative activated receptor, gamma, coactivator 1.LEM6; PGC1; PGC1A; PGC-1(alpha).peroxisome proliferative activated receptor gamma coactivator 1."
55120	FANCL	0.0116053	"Fanconi anemia, complementation group L.POG; PHF9; FLJ10335.Fanconi anemia, complementation group L."
26298	EHF	0.0116153	ets homologous factor.ESE3; ESEJ.ets homologous factor isoform b.
91614		0.0116418	dJ85M6.4.novel 58.3 KDA protein.
2057	EPOR	0.0116708	erythropoietin receptor..erythropoietin receptor precursor.
8048	CSRP3	0.0119435	cysteine and glycine-rich protein 3 (cardiac LIM protein).CLP; MLP; CRP3; LMO4; CMD1M.cysteine and glycine-rich protein 3.
19	ABCA1	0.0120056	"ATP-binding cassette, sub-family A (ABC1), member 1.TGD; ABC1; CERP; HDLDT1.ATP-binding cassette, sub-family A member 1."
5175	PECAM1	0.0120377	plateletendothelial cell adhesion molecule (CD31 antigen).CD31.plateletendothelial cell adhesion molecule (CD31 antigen).
26167	PCDHB5	0.0120818	protocadherin beta 5.PCDH-BETA5; DKFZP586B0217.protocadherin beta 5 precursor.
5644	PRSS1	0.012164	"protease, serine, 1 (trypsin 1).TRP1; TRY1; TRY4; TRYP1.protease, serine, 1 preproprotein."
9752	PCDHA9	0.0121865	protocadherin alpha 9.KIAA0345; PCDH-ALPHA9.protocadherin alpha 9 isoform 2 precursor.
9353	SLIT2	0.0121934	slit homolog 2 (Drosophila).Slit-2.slit homolog 2.
320	APBA1	0.0122075	"amyloid beta (A4) precursor protein-binding, family A, member 1 (X11).X11; X11A; MINT1; D9S411E; X11ALPHA.amyloid beta A4 precursor protein-binding, family A, member 1."
54894		0.0122791	RNF124.hypothetical protein FLJ20315.
55492		0.012471	
1734	DIO2	0.0126191	"deiodinase, iodothyronine, type II.SelY; TXDI2.deiodinase, iodothyronine, type II."
5802	PTPRS	0.0129393	"protein tyrosine phosphatase, receptor type, S.PTPSIGMA.protein tyrosine phosphatase, receptor type, sigma isoform 4 precursor."
7321	UBE2D1	0.0129973	"ubiquitin-conjugating enzyme E2D 1 (UBC45 homolog, yeast).UBCH5; UBC45; UBCH5A; E2(17)KB1.ubiquitin-conjugating enzyme E2D 1."
1813	DRD2	0.0132882	dopamine receptor D2.D2R; D2DR.dopamine receptor D2 isoform short.
5790	PTPRCAP	0.0133203	"protein tyrosine phosphatase, receptor type, C-associated protein.LPAP; CD45-AP.protein tyrosine phosphatase, receptor type, C-associated protein."
4504	MT3	0.0133708	metallothionein 3 (growth inhibitory factor (neurotrophic)).GIF; GIFB; GRIF.metallothionein 3 (growth inhibitory factor (neurotrophic)).
114928		0.0133904	hypothetical protein BC013576.
928	CD9	0.0133947	CD9 antigen (p24).BA2; P24; MIC3; MRP-1; DRAP-27.CD9 antigen.
6773	STAT2	0.013424	"signal transducer and activator of transcription 2, 113kDa.P113; ISGF-3; STAT113; MGC59816.signal transducer and activator of transcription 2."
