LocusLink	Name	P-value	Description
4014	LOR	1.29E-09	loricrin..loricrin.
2952	GSTT1	1.30E-09	glutathione S-transferase theta 1..glutathione S-transferase theta 1.
11156	PTP4A3	1.33E-09	"protein tyrosine phosphatase type IVA, member 3.PRL3; PRL-3; PRL-R.protein tyrosine phosphatase type IVA, member 3 isoform 2."
1524	CX3CR1	1.40E-09	chemokine (C-X3-C motif) receptor 1.V28; CCRL1; GPR13; CMKDR1; GPRV28; CMKBRL1.chemokine (C-X3-C motif) receptor 1.
53826	FXYD6	1.40E-09	FXYD domain containing ion transport regulator 6..FXYD domain-containing ion transport regulator 6.
3782	KCNN3	1.48E-09	"potassium intermediatesmall conductance calcium-activated channel, subfamily N, member 3.SK3; hSK3; SKCA3; KCa2.3.small conductance calcium-activated potassium channel protein 3 isoform b."
2624	GATA2	1.68E-09	GATA binding protein 2.NFE1B; MGC2306.GATA binding protein 2.
7349	UCN	1.80E-09	urocortin.UI; UROC.urocortin preproprotein.
127	ADH4	1.87E-09	"alcohol dehydrogenase 4 (class II), pi polypeptide.ADH-2.class II alcohol dehydrogenase 4 pi subunit."
3569	IL6	1.89E-09	"interleukin 6 (interferon, beta 2).HGF; HSF; BSF2; IL-6; IFNB2.interleukin 6 (interferon, beta 2)."
1143	CHRNB4	1.89E-09	"cholinergic receptor, nicotinic, beta polypeptide 4..cholinergic receptor, nicotinic, beta polypeptide 4."
8630		1.99E-09	HSE.3-hydroxysteroid epimerase.
7940	LST1	2.01E-09	leukocyte specific transcript 1.B144; LST-1; D6S49E.leukocyte specific transcript 1.Protein that is expressed in leukocytes and induced by IFN-gamma; possibly functions in the immune response of monocytes and T cells|Proteome
6196	RPS6KA2	2.06E-09	"ribosomal protein S6 kinase, 90kDa, polypeptide 2.RSK; HU-2; RSK3; MAPKAPK1C.ribosomal protein S6 kinase, 90kDa, polypeptide 2."
2267	FGL1	2.10E-09	fibrinogen-like 1.HFREP1; HP-041; LFIRE1; HFREP-1.fibrinogen-like 1 precursor.
7021	TFAP2B	2.18E-09	transcription factor AP-2 beta (activating enhancer binding protein 2 beta).CHAR; AP-2B; AP2-B.transcription factor AP-2 beta (activating enhancer binding protein 2 beta).
10551	AGR2	2.22E-09	anterior gradient 2 homolog (Xenopus laevis).AG2; GOB-4; HAG-2; XAG-2.anterior gradient 2 homolog.
10107	TRIM10	2.30E-09	tripartite motif-containing 10.RNF9; HERF1; RFB30.tripartite motif-containing 10 isoform 2.
4133	MAP2	2.35E-09	microtubule-associated protein 2.MAP2A; MAP2B; MAP2C.microtubule-associated protein 2 isoform 4.
4610	MYCL1	2.46E-09	"v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian).LMYC; MYCL.v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived."
51299	NRN1	2.56E-09	neuritin 1.NRN; MGC44811.neuritin precursor.
6759	SSX4	2.57E-09	"synovial sarcoma, X breakpoint 4.MGC12411.synovial sarcoma, X breakpoint 4 isoform b."
7433	VIPR1	2.59E-09	vasoactive intestinal peptide receptor 1.II; HVR1; RCD1; RDC1; VIPR; VIRG; VPAC1; PACAP-R-2.vasoactive intestinal peptide receptor 1.
6590	SLPI	2.69E-09	secretory leukocyte protease inhibitor (antileukoproteinase).ALP; ALK1; BLPI; HUSI; WAP4; WFDC4; HUSI-I.secretory leukocyte protease inhibitor precursor.
4842	NOS1	2.74E-09	nitric oxide synthase 1 (neuronal).NOS.nitric oxide synthase 1 (neuronal).
3576	IL8	2.87E-09	interleukin 8.K60; NAF; GCP1; IL-8; LECT; LUCT; NAP1; 3-10C; CXCL8; GCP-1; LYNAP; MDNCF; MONAP; NAP-1; SCYB8; TSG-1; AMCF-I; b-ENAP.interleukin 8 precursor.
4620	MYH2	2.88E-09	"myosin, heavy polypeptide 2, skeletal muscle, adult.MYH2A; MYHSA2; MYHas8; MyHC-2A; MyHC-IIa.myosin, heavy polypeptide 2, skeletal muscle, adult."
64332		2.90E-09	IKBZ; INAP.molecule possessing ankyrin repeats induced by lipopolysaccharide.
4795	NFKBIL1	2.98E-09	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1.IKBL; NFKBIL.nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1.
2167	FABP4	3.00E-09	"fatty acid binding protein 4, adipocyte.A-FABP.fatty acid binding protein 4, adipocyte."
3002	GZMB	3.12E-09	"granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1).HLP; CCPI; CGL1; CSPB; SECT; CGL-1; CSP-B; CTLA1; CTSGL1.granzyme B precursor."
1839	DTR	3.23E-09	diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor).DTS; HBEGF; HEGFL.diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor).
3718	JAK3	3.26E-09	"Janus kinase 3 (a protein tyrosine kinase, leukocyte).JAKL; LJAK.Janus kinase 3."
3786	KCNQ3	3.43E-09	"potassium voltage-gated channel, KQT-like subfamily, member 3.EBN2; BFNC2; KV7.3.potassium voltage-gated channel KQT-like protein 3."
229	ALDOB	3.46E-09	"aldolase B, fructose-bisphosphate..aldolase B."
25982		3.56E-09	
7287	TULP1	3.95E-09	tubby like protein 1.RP14; TUBL1.tubby like protein 1.
4303	MLLT7	3.96E-09	"myeloidlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7.AFX; AFX1; FOXO4.myeloidlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7."
3866	KRT15	3.99E-09	keratin 15.K15; CK15; K1CO.keratin 15.
2354	FOSB	4.13E-09	FBJ murine osteosarcoma viral oncogene homolog B.GOS3; GOSB.FBJ murine osteosarcoma viral oncogene homolog B.
9788	MTSS1	4.50E-09	metastasis suppressor 1.MIM; MIMA; MIMB; KIAA0429.metastasis suppressor 1.
26047	CNTNAP2	4.56E-09	contactin associated protein-like 2.NRXN4; CASPR2; KIAA0868.cell recognition molecule Caspr2 precursor.
1294	COL7A1	4.65E-09	"collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive).EBD1; EBR1; EBDCT.alpha 1 type VII collagen precursor."
5133	PDCD1	4.91E-09	programmed cell death 1.PD1; hPD-l.programmed cell death 1 precursor.
27121	DKK4	4.95E-09	dickkopf homolog 4 (Xenopus laevis).DKK-4; hdkk-4.dickkopf homolog 4.
6364	CCL20	4.98E-09	chemokine (C-C motif) ligand 20.CKb4; LARC; ST38; MIP3A; MIP-3a; SCYA20.chemokine (C-C motif) ligand 20.
1749	DLX5	5.19E-09	distal-less homeo box 5..distal-less homeo box 5.
2203	FBP1	5.89E-09	"fructose-1,6-bisphosphatase 1.FBP.fructose-1,6-bisphosphatase 1."
51066		5.95E-09	fls485.
55544	RNPC1	6.19E-09	"RNA-binding region (RNP1, RRM) containing 1.SEB4B; SEB4D; HSRNASEB; dJ800J21.2.RNA-binding region containing protein 1 isoform b."
1082	CGB	6.38E-09	"chorionic gonadotropin, beta polypeptide.CGB3.chorionic gonadotropin beta 3 subunit precursor."
5654	PRSS11	6.65E-09	"protease, serine, 11 (IGF binding).L56; HtrA; HTRA1; ORF480.protease, serine, 11."
25834		7.01E-09	"GNTIVH.UDP-N-acetylglucosamine:a-1,3-D-mannoside beta-1,4-N-acetylgluco."
7673	ZNF222	7.47E-09	zinc finger protein 222..zinc finger protein 222.
3060	HCRT	8.46E-09	hypocretin (orexin) neuropeptide precursor.OX; PPOX.orexin precursor.
3741	KCNA5	9.42E-09	"potassium voltage-gated channel, shaker-related subfamily, member 5.HK2; HCK1; PCN1; HPCN1; KV1.5.potassium voltage-gated channel, shaker-related subfamily, member 5."
2202	EFEMP1	9.86E-09	EGF-containing fibulin-like extracellular matrix protein 1.DHRD; DRAD; FBNL; MLVT; S1-5; FBLN3.EGF-containing fibulin-like extracellular matrix protein 1 isoform b.
54657	UGT1A4	9.91E-09	"UDP glycosyltransferase 1 family, polypeptide A4.Sfc16; Ftsjl; Sfc12; Sfc2; Sfc18; 1110064L01Rik; Sfc19; Sfc20; Sfc22; Sfc13; Sfc14; Sfc23; Sfc24; Sfc7; Sfc10; Sfc15; Sfc25; Smr; Sfmbt; Sfc11; Sfc17; A930034B14; UGT1D; HUG-BR2.UDP glycosyltransferase 1 family, polypeptide A4."
55671	KIAA2010	9.95E-09	KIAA2010.MSTP033; FLJ20707.hypothetical protein FLJ20707 isoform 2.
8996	NOL3	1.05E-08	nucleolar protein 3 (apoptosis repressor with CARD domain).ARC; MYC; NOP; NOP30.nucleolar protein 3 (apoptosis repressor with CARD domain).
2261	FGFR3	1.06E-08	"fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism).ACH; CEK2; JTK4; HSFGFR3EX.fibroblast growth factor receptor 3 isoform 2 precursor."
9649		1.08E-08	RALGEF2; KIAA0351.Ral guanine nucleotide exchange factor RalGPS1A.
5530	PPP3CA	1.12E-08	"protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha).CALN; CCN1; CNA1; CALNA; PPP2B; CALNA1.protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)."
8870	IER3	1.14E-08	immediate early response 3.DIF2; IEX1; PRG1; DIF-2; GLY96; IEX-1; IEX-1L.immediate early response 3 isoform short.
2775	GNAO1	1.15E-08	"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O.GNAO; G-ALPHA-o.guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O.G-protein alpha subunit o1; subunit of pertussis toxin-sensitive heterotrimeric G-protein complexes|Proteome"
2012	EMP1	1.29E-08	epithelial membrane protein 1.TMP; CL-20.epithelial membrane protein 1.
57030	SLC17A7	1.36E-08	"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7.TACE; 1600027H05Rik; tMDCIII; BNPI; VGLUT1.solute carrier family 17, member 7."
4071	TM4SF1	1.45E-08	transmembrane 4 superfamily member 1.L6; H-L6; M3S1; TAAL6.transmembrane 4 superfamily member 1.
7802	DNALI1	1.46E-08	"dynein, axonemal, light intermediate polypeptide 1.P28; hp28.axonemal dynein light chain."
1280	COL2A1	1.49E-08	"collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital).SEDC; COL11A3.alpha 1 type II collagen isoform 2, preproprotein."
130013	ACMSD	1.50E-08	aminocarboxymuconate semialdehyde decarboxylase..aminocarboxymuconate semialdehyde decarboxylase.
4629	MYH11	1.54E-08	"myosin, heavy polypeptide 11, smooth muscle.SMHC; SMMHC.smooth muscle myosin heavy chain 11 isoform SM2."
7469	WHSC2	1.56E-08	Wolf-Hirschhorn syndrome candidate 2.NELFA; FLJ10442; FLJ25112; POKcl.15.Wolf-Hirschhorn syndrome candidate 2 protein.
2196	FAT2	1.61E-08	FAT tumor suppressor homolog 2 (Drosophila).CDHF8; HFAT2; MEGF1.FAT tumor suppressor 2 precursor.
9073	CLDN8	1.61E-08	claudin 8..claudin 8.
6273	S100A2	1.64E-08	S100 calcium binding protein A2.CAN19; S100L.S100 calcium binding protein A2.
55030	FBXO34	1.67E-08	F-box only protein 34.CGI-301; FLJ20725; DKFZp547C162.F-box only protein 34.
4756	NEO1	1.69E-08	neogenin homolog 1 (chicken).NGN.neogenin homolog 1.
5345	SERPINF2	1.71E-08	"serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2.AAP; API; PLI; A2AP; ALPHA-2-PI.alpha-2-plasmin inhibitor."
367	AR	1.80E-08	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease).KD; AIS; TFM; DHTR; SBMA; NR3C4; SMAX1; HUMARA.androgen receptor.
1277	COL1A1	1.82E-08	"collagen, type I, alpha 1.OI4.alpha 1 type I collagen preproprotein."
1527	CXorf2	1.83E-08	chromosome X open reading frame 2.TEX28.chromosome X open reading frame 2.
9751	SNPH	1.86E-08	syntaphilin.KIAA0374; MGC46096; bA314N13.5.syntaphilin.
1029	CDKN2A	1.86E-08	"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4).ARF; MLM; P16; p14; p16; p19; CMM2; INK4; MTS1; TP16; CDK4I; CDKN2; INK4a; p14ARF; p16INK4.cyclin-dependent kinase inhibitor 2A isoform 3."
11151	CORO1A	1.87E-08	"coronin, actin binding protein, 1A.p57; TACO; CLABP; HCORO1; CLIPINA; Clabp TACO.coronin, actin binding protein, 1A."
23284	LPHN3	1.91E-08	latrophilin 3.LEC3; KIAA0768.latrophilin 3.
9466		2.06E-08	CRL1; TCCR; IL27R; WSX-1.class I cytokine receptor.
81551	STMN4	2.09E-08	stathmin-like 4.RB3.stathmin-like-protein RB3.
3670	ISL1	2.25E-08	"ISL1 transcription factor, LIMhomeodomain, (islet-1).Isl-1.islet-1."
7712	ZNF157	2.35E-08	zinc finger protein 157 (HZF22).HZF22.zinc finger protein 157.
27074	LAMP3	2.42E-08	lysosomal-associated membrane protein 3.LAMP; DCLAMP; TSC403; DC-LAMP.lysosomal-associated membrane protein 3.
8653	DDX3Y	2.52E-08	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked.DBY.DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked."
1141	CHRNB2	2.63E-08	"cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal).EFNL3.cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)."
25987		2.68E-08	"DKFZP586E011.hypothetical protein, estradiol-induced.Contains leucine rich repeats, which mediate protein-protein interactions|Proteome"
79734		2.80E-08	hypothetical protein FLJ12242.
7140	TNNT3	2.86E-08	"troponin T3, skeletal, fast.DA2B; FSSV; AMCD2B.troponin T3, skeletal, fast."
26239	SPRL1B	2.90E-08	small proline rich-like (epidermal differentiation complex) 1B.XP5; LEP10.small proline rich-like 1B.
6440	SFTPC	3.03E-08	"surfactant, pulmonary-associated protein C.SP-C; PSP-C; SFTP2.surfactant, pulmonary-associated protein C."
9374	PPT2	3.14E-08	palmitoyl-protein thioesterase 2.G14; DKFZp564P1516.palmitoyl-protein thioesterase 2 isoform c precursor.
4923	NTSR1	3.40E-08	neurotensin receptor 1 (high affinity).NTR.neurotensin receptor 1.
2791	GNG11	3.42E-08	"guanine nucleotide binding protein (G protein), gamma 11..guanine nucleotide binding protein (G protein), gamma 11."
10406	WFDC2	3.43E-08	WAP four-disulfide core domain 2.HE4; WAP5; dJ461P17.6.WAP four-disulfide core domain 2 isoform 5.
24148	C20orf14	3.52E-08	chromosome 20 open reading frame 14.TOM; ANT-1.U5 snRNP-associated 102 kDa protein.
8842	PROM1	3.54E-08	prominin 1.AC133; CD133; PROML1.prominin 1.
6511	SLC1A6	3.68E-08	"solute carrier family 1 (high affinity aspartateglutamate transporter), member 6.EAAT4.solute carrier family 1 (high affinity aspartateglutamate transporter), member 6."
9705	ST18	3.71E-08	suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein).ZNF387; KIAA0535.suppression of tumorigenicity 18.
6338	SCNN1B	4.00E-08	"sodium channel, nonvoltage-gated 1, beta (Liddle syndrome).ENaCb; SCNEB; ENaCbeta.sodium channel, nonvoltage-gated 1, beta."
9718	ECE2	4.20E-08	endothelin converting enzyme 2.KIAA0604.endothelin converting enzyme 2.
361	AQP4	4.20E-08	aquaporin 4.MIWC; HMIWC2.aquaporin 4 isoform b.
10631		4.29E-08	PN.osteoblast specific factor 2 (fasciclin I-like).
9047	SH2D2A	4.42E-08	SH2 domain protein 2A.TSAD; TSAd; F2771.SH2 domain protein 2A.
2623	GATA1	4.59E-08	GATA binding protein 1 (globin transcription factor 1).GF1; NFE1; ERYF1.GATA binding protein 1.
8941	CDK5R2	4.64E-08	"cyclin-dependent kinase 5, regulatory subunit 2 (p39).P39; NCK5AI; p39nck5ai.cyclin-dependent kinase 5, regulatory subunit 2."
1958	EGR1	4.67E-08	early growth response 1.TIS8; AT225; NGFI-A; ZNF225; KROX-24; ZIF-268.early growth response 1.
7485	WRB	4.77E-08	tryptophan rich basic protein.CHD5.tryptophan rich basic protein.
59	ACTA2	4.93E-08	"actin, alpha 2, smooth muscle, aorta.ACTSA.alpha 2 actin."
23046		5.22E-08	KIAA0449; DKFZP434J212..
6691	SPINK2	5.50E-08	"serine protease inhibitor, Kazal type, 2 (acrosin-trypsin inhibitor).HUSI-II.serine protease inhibitor, Kazal type, 2 (acrosin-trypsin inhibitor)."
1131	CHRM3	5.64E-08	"cholinergic receptor, muscarinic 3.HM3.cholinergic receptor, muscarinic 3."
23640		5.66E-08	"hsp70-interacting protein.Binds HSP70 and HSC70 (HSPA8), inhibiting chaperone activity by preventing ATP binding|Proteome"
9783	RIMS3	5.80E-08	regulating synaptic membrane exocytosis 3.NIM3; RIM3; KIAA0237.regulating synaptic membrane exocytosis 3.
1848	DUSP6	5.82E-08	dual specificity phosphatase 6.MKP3; MKP-3; PYST1.dual specificity phosphatase 6 isoform b.
2260	FGFR1	5.83E-08	"fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome).H2; H3; H4; H5; CEK; FLG; FLT2; KAL2; BFGFR; C-FGR; N-SAM; FLJ14326.fibroblast growth factor receptor 1 isoform 9 precursor."
1969	EPHA2	5.88E-08	EphA2.ECK.ephrin receptor EphA2.
2669	GEM	5.95E-08	GTP binding protein overexpressed in skeletal muscle.KIR; MGC26294.GTP-binding mitogen-induced T-cell protein.
1802	DPH2L2	6.43E-08	diptheria toxin resistance protein required for diphthamide biosynthesis-like 2 (S. cerevisiae).DPH2.diphthamide biosynthesis-like protein 2.
5265	SERPINA1	6.90E-08	"serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1.PI; A1A; AAT; PI1; A1AT; alpha-1-antitrypsin.serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1."
1311	COMP	7.86E-08	cartilage oligomeric matrix protein.MED; EDM1; EPD1; PSACH.cartilage oligomeric matrix protein precursor.
51032		8.10E-08	pancreatic elastase IIB.
3730	KAL1	8.52E-08	Kallmann syndrome 1 sequence.HHA; KAL; KMS; ADMLX; KALIG-1.Kallmann syndrome 1 protein.
5210	PFKFB4	8.88E-08	6
26	ABP1	8.91E-08	amiloride binding protein 1 (amine oxidase (copper-containing)).DAO; AOC1.amiloride binding protein 1 precursor.
10566	AKAP3	8.96E-08	A kinase (PRKA) anchor protein 3.SOB1; FSP95; PRKA3; AKAP110.A-kinase anchor protein 3.
7286	TUFT1	9.08E-08	tuftelin 1..tuftelin 1.
241	ALOX5AP	9.17E-08	arachidonate 5-lipoxygenase-activating protein.FLAP.arachidonate 5-lipoxygenase-activating protein.
90355		9.78E-08	hypothetical protein LOC90355.
8043		9.84E-08	
1002	CDH4	1.00E-07	"cadherin 4, type 1, R-cadherin (retinal).CAD4; RCAD.cadherin 4, type 1 preproprotein."
80301		1.01E-07	PP1628; DKFZp761K2312.PH domain-containing protein.
6662	SOX9	1.03E-07	"SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal).CMD1; SRA1; CMPD1.transcription factor SOX9."
10497	UNC13B	1.11E-07	unc-13 homolog B (C. elegans).UNC13; MUNC13; Unc13h2; hmunc13.UNC13 (C. elegans)-like.
25977		1.11E-07	DKFZP566B183 protein.
8178	ELL	1.13E-07	elongation factor RNA polymerase II.Men; ELL1.elongation factor RNA polymerase II.
3078	HFL1	1.13E-07	H factor (complement)-like 1.CFHL; FHR1; H36-1.H factor (complement)-like 1.
112495	C6orf51	1.19E-07	chromosome 6 open reading frame 51.bA397G5.3.chromosome 6 open reading frame 51.
29881	NPC1L1	1.20E-07	"NPC1 (Niemann-Pick disease, type C1, gene)-like 1..NPC1 (Niemann-Pick disease, type C1, gene)-like 1."
7057	THBS1	1.21E-07	thrombospondin 1.TSP; THBS; TSP1.thrombospondin 1 precursor.
54829	ASPN	1.23E-07	asporin (LRR class 1).PLAP1; SLRR1C; FLJ20129.asporin (LRR class 1).
7090	TLE3	1.29E-07	"transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila).ESG; ESG3; KIAA1547.transducin-like enhancer protein 3."
84952		1.41E-07	KIAA1749.hypothetical protein FLJ14957.
177	AGER	1.44E-07	advanced glycosylation end product-specific receptor.RAGE; MGC22357.advanced glycosylation end product-specific receptor isoform 2 precursor.
3958	LGALS3	1.45E-07	"lectin, galactoside-binding, soluble, 3 (galectin 3).GAL3; MAC2; CBP35; GALBP; LGALS2.galectin-3."
800	CALD1	1.48E-07	caldesmon 1.CDM; NAG22.caldesmon 1 isoform 5.
6699	SPRR1B	1.55E-07	small proline-rich protein 1B (cornifin).SPRR1; GADD33; CORNIFIN.small proline-rich protein 1B.
1293	COL6A3	1.59E-07	"collagen, type VI, alpha 3..alpha 3 type VI collagen isoform 5 precursor."
6678	SPARC	1.72E-07	"secreted protein, acidic, cysteine-rich (osteonectin).ON.secreted protein, acidic, cysteine-rich (osteonectin)."
5310	PKD1	1.76E-07	polycystic kidney disease 1 (autosomal dominant).PBP.polycystin 1 precursor.
84460		1.76E-07	
8349	HIST2H2BE	1.77E-07	"histone 2, H2be.H2B; GL105; H2B.1; H2Bq; H2BFQ.H2B histone family, member Q."
3934	LCN2	1.87E-07	lipocalin 2 (oncogene 24p3).NGAL.lipocalin 2 (oncogene 24p3).
9201	DCAMKL1	1.88E-07	doublecortin and CaM kinase-like 1.DCLK; KIAA0369..
6462	SHBG	1.93E-07	sex hormone-binding globulin.ABP.sex hormone-binding globulin.
1292	COL6A2	2.19E-07	"collagen, type VI, alpha 2.PP3610; DKFZp586E1322.alpha 2 type VI collagen isoform 2C2a precursor."
6690	SPINK1	2.20E-07	"serine protease inhibitor, Kazal type 1.PCTT; PSTI; TATI.serine protease inhibitor, Kazal type 1."
5066	PAM	2.38E-07	"peptidylglycine alpha-amidating monooxygenase.PAL; PHM.peptidylglycine alpha-amidating monooxygenase isoform d, preproprotein."
5968	REG1B	2.48E-07	"regenerating islet-derived 1 beta (pancreatic stone protein, pancreatic thread protein).REGH; REGL; PSPS2; REGI-BETA.regenerating islet-derived 1 beta precursor."
55638		2.51E-07	hypothetical protein FLJ20366.
9185	REPS2	2.63E-07	RALBP1 associated Eps domain containing 2.POB1.RALBP1 associated Eps domain containing 2.
2006	ELN	2.66E-07	"elastin (supravalvular aortic stenosis, Williams-Beuren syndrome).WS; WBS; SVAS.elastin.Elastin; component of the extracellular matrix of arteries; similar to murine Eln|Proteome"
3783	KCNN4	2.73E-07	"potassium intermediatesmall conductance calcium-activated channel, subfamily N, member 4.IK1; SK4; KCA4; hSK4; IKCA1; hKCa4; KCa3.1; hIKCa1.intermediate conductance calcium-activated potassium channel protein 1."
2171	FABP5	2.75E-07	fatty acid binding protein 5 (psoriasis-associated).EFABP; E-FABP; PAFABP; PA-FABP.fatty acid binding protein 5 (psoriasis-associated).
5199	PFC	2.78E-07	"properdin P factor, complement.BFD; PFD; PROPERDIN.properdin P factor, complement."
6586	SLIT3	3.11E-07	slit homolog 3 (Drosophila).MEGF5; SLIL2; SLIT1; Slit-3.slit homolog 3.
55748		3.15E-07	FLJ10830.cytosolic nonspecific dipeptidase (EC 3.4.13.18).Member of the peptidase M20M25M40 family of zinc metalloproteinases|Proteome
5999	RGS4	3.38E-07	regulator of G-protein signalling 4.RGP4; MGC2124; MGC60244.regulator of G-protein signaling 4.
79659	DNCH2	3.42E-07	"dynein, cytoplasmic, heavy polypeptide 2.DHC2; DHC1b; DYH1B; hdhc11; FLJ11756.."
6695	SPOCK	3.43E-07	"sparcosteonectin, cwcv and kazal-like domains proteoglycan (testican).TIC1; SPOCK1; TESTICAN.sparcosteonectin, cwcv and kazal-like domains proteoglycan precursor."
8698	EDG6	3.45E-07	"endothelial differentiation, G-protein-coupled receptor 6.LPC1; SLP4.endothelial differentiation, G protein coupled receptor 6 precursor."
2743	GLRB	3.61E-07	"glycine receptor, beta..glycine receptor, beta."
55022		3.76E-07	hypothetical protein FLJ20701.
55089	SLC38A4	3.77E-07	"solute carrier family 38, member 4.ATA3; NAT3; PAAT; FLJ10191.solute carrier family 38, member 4.Low similarity to a region of amino acid transporters|Proteome"
2219	FCN1	3.81E-07	ficolin (collagenfibrinogen domain containing) 1.FCNM.ficolin 1 precursor.
3780	KCNN1	3.84E-07	"potassium intermediatesmall conductance calcium-activated channel, subfamily N, member 1.SK1; hSK1; SKCA1; KCa2.1.small conductance calcium-activated potassium channel protein 1."
275	AMT	3.92E-07	aminomethyltransferase (glycine cleavage system protein T).GCE; NKH; GCST.aminomethyltransferase (glycine cleavage system protein T).
9023	CH25H	4.17E-07	cholesterol 25-hydroxylase.C25H.cholesterol 25-hydroxylase.
1628	DBP	4.27E-07	D site of albumin promoter (albumin D-box) binding protein.DABP.D site of albumin promoter (albumin D-box) binding protein.
60528	ELAC2	4.31E-07	elaC homolog 2 (E. coli).ELC2; HPC2; FLJ10530.elaC homolog 2.
7369	UMOD	4.46E-07	"uromodulin (uromucoid, Tamm-Horsfall glycoprotein).FJHN; HNFJ; MCKD2; ADMCKD2.uromodulin."
657	BMPR1A	4.48E-07	"bone morphogenetic protein receptor, type IA.ALK3; ACVRLK3.bone morphogenetic protein receptor, type IA precursor."
6939	TCF15	4.70E-07	transcription factor 15 (basic helix-loop-helix).EC2; PARAXIS.basic helix-loop-helix transcription factor 15.
4684	NCAM1	4.71E-07	neural cell adhesion molecule 1.CD56; NCAM.neural cell adhesion molecule 1.Neural cell adhesion molecule 1; regulates interactions between neurons and between neurons and muscle; member of the immunoglobulin superfamily|Proteome
5172	SLC26A4	4.78E-07	"solute carrier family 26, member 4.PDS; DFNB4.pendrin."
867	CBL	4.80E-07	Cas-Br-M (murine) ecotropic retroviral transforming sequence.CBL2; C-CBL; RNF55.Cas-Br-M (murine) ecotropic retroviral transforming sequence.
27302	BMP10	5.02E-07	bone morphogenetic protein 10..bone morphogenetic protein 10 preproprotein.
1757	SARDH	5.30E-07	sarcosine dehydrogenase.SAR; SDH; SARD; DMGDHL1.sarcosine dehydrogenase.Sarcosine dehydrogenase; flavoenzyme that oxidatively degrades choline to glycine|Proteome
2946	GSTM2	5.32E-07	glutathione S-transferase M2 (muscle).GST4; GSTM; GTHMUS; GSTM2-2.glutathione S-transferase M2.
9915	ARNT2	5.50E-07	aryl-hydrocarbon receptor nuclear translocator 2.KIAA0307.aryl-hydrocarbon receptor nuclear translocator 2.
7991		5.82E-07	D8S1992; MGC13453.Putative prostate cancer tumor suppressor isoform b.
2678	GGT1	6.28E-07	gamma-glutamyltransferase 1.GGT; GTG; CD224; D22S672; D22S732.gamma-glutamyltransferase 1 precursor.
2315	MLANA	6.46E-07	melan-A.MART1; MART-1.melan-A.
873	CBR1	6.46E-07	carbonyl reductase 1.CBR.carbonyl reductase 1.
2209	FCGR1A	7.02E-07	"Fc fragment of IgG, high affinity Ia, receptor for (CD64).CD64; FCRI; IGFR1.Fc fragment of IgG, high affinity Ia, receptor for (CD64).Fc gamma RI; receptor for the Fc domain of IgG, has a role in immune response; member of the immunoglobulin superfamily|Proteome"
11174	ADAMTS6	7.62E-07	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 6.ADAM-TS6.a disintegrin and metalloprotease with thrombospondin motifs-6."
10500	SEMA6C	7.65E-07	"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C.SEMAY; KIAA1869; m-Sema Y; m-Sema-Y.semaphorin Y."
9687		7.73E-07	KIAA0575.GREB1 protein isoform c.
84277	WBSCR18	7.84E-07	Williams Beuren syndrome chromosome region 18.MGC12943.Williams Beuren syndrome chromosome region 18.
7429	VIL1	7.91E-07	villin 1.VIL; D2S1471.villin 1.
